"年度","月份","序号","类章序号","类章名目","出口_当月","出口_累计","进口_当月","进口_累计","累计同期变动_出口","累计同期变动_进口"
2015,11,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",35852,327884,42847,525309,-4.7,-1.8
2015,11,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",32183,369082,393270,4392839,3.3,-14.6
2015,11,38,"31章","31章 肥料",626905,5991486,245504,2137213,25.4,13.7
2015,11,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",93281,1285152,148439,1985618,-10.5,5.5
2015,11,64,"52章","52章 棉花",841984,8932372,421244,5774320,-2.9,-18.5
2015,12,3,"01章","01章 活动物",62362,371577,46168,340929,3.3,-33.6
2015,12,4,"02章","02章 肉及食用杂碎",67259,655692,500570,4231047,-9.7,17.9
2015,12,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",965638,8281332,392120,3934073,-4.2,-2.7
2015,12,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",37723,376001,172575,2049117,4.4,-48.5
2015,12,10,"07章","07章 食用蔬菜、根及块茎",639056,5604317,118591,1618804,10.9,2.3
2015,12,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",517435,3225558,284396,3721150,21.6,17.8
2015,12,13,"10章","10章 谷物",22579,200475,391461,5790747,-26.7,52.8
2015,12,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",40745,368188,65627,590747,-2.1,-0.2
2015,12,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",44934,414016,505004,4897875,4.6,-12.5
2015,12,38,"31章","31章 肥料",723476,6714267,306566,2442801,22.4,18.7
2015,12,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",129066,1414188,130490,2116067,-8.7,1.8
2015,12,64,"52章","52章 棉花",882587,9812844,581726,6355886,-2,-18.8
2016,1,3,"01章","01章 活动物",10214,10214,7163,7163,105.4,-90.4
2016,1,4,"02章","02章 肉及食用杂碎",40132,40132,498324,498324,-21.3,47.1
2016,1,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",829420,829420,362967,362967,-0.8,17.1
2016,1,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",37941,37941,358707,358707,28.9,29.3
2016,1,10,"07章","07章 食用蔬菜、根及块茎",489646,489646,105280,105280,4.3,-20.1
2016,1,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",364289,364289,516323,516323,39.3,8.4
2016,1,13,"10章","10章 谷物",14772,14772,349249,349249,-2.6,-18.1
2016,1,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",31877,31877,51022,51022,-3.5,-5.3
2016,1,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",31256,31256,352411,352411,-13.1,-16
2016,1,38,"31章","31章 肥料",386121,386121,245583,245583,-18.4,36.5
2016,1,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",113735,113735,168094,168094,-7.3,-0.3
2016,1,64,"52章","52章 棉花",882234,882234,416091,416091,14.3,-31.8
2016,2,3,"01章","01章 活动物",31264,41478,6707,13870,21.7,-85.2
2016,2,4,"02章","02章 肉及食用杂碎",37322,77453,343303,841638,-20.2,52.5
2016,2,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",486228,1315648,278252,641196,-8.3,17.3
2016,2,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",29781,67722,164832,523537,14,17.3
2016,2,10,"07章","07章 食用蔬菜、根及块茎",384505,874150,99542,204822,4.7,-30.3
2016,2,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",198987,563276,263986,780439,33.8,-10.5
2016,2,13,"10章","10章 谷物",9044,23816,206266,555420,-13.4,-33.8
2016,2,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",26716,58583,33859,84882,-3.6,-4.1
2016,2,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",25435,56691,282557,634970,-17.1,-1.7
2016,2,38,"31章","31章 肥料",204334,590445,138918,384514,-38,12.6
2016,2,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",101837,215572,99028,267122,-7.7,6.7
2016,2,64,"52章","52章 棉花",585225,1467360,291734,707824,3.4,-31.2
2016,3,3,"01章","01章 活动物",35550,77028,18897,32768,25.3,-71.2
2016,3,4,"02章","02章 肉及食用杂碎",46404,123866,500840,1342563,-16.9,53.6
2016,3,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",669147,1984304,378506,1019642,5.2,15.6
2016,3,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",32145,99867,217229,740696,15.8,19.2
2016,3,10,"07章","07章 食用蔬菜、根及块茎",538724,1412950,135670,340469,16.8,-30.5
2016,3,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",237119,800232,286526,1067504,46.9,-9.7
2016,3,13,"10章","10章 谷物",17391,41207,408019,963427,12.4,-21.9
2016,3,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",34660,93243,60831,145733,6.8,-1.1
2016,3,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",38703,95394,381290,1015970,0.3,5.2
2016,3,38,"31章","31章 肥料",338023,928468,144424,528938,-38.6,3.9
2016,3,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",120271,335844,184697,451819,-2.1,0.5
2016,3,64,"52章","52章 棉花",871063,2338183,445931,1153670,18.3,-30.5
2016,4,3,"01章","01章 活动物",30430,107458,40266,73034,17.3,-46.8
2016,4,4,"02章","02章 肉及食用杂碎",46885,170751,516830,1859612,-18.6,54
2016,4,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",691052,2675242,354684,1374402,7.1,8.4
2016,4,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",30279,130145,174085,914778,11.2,15
2016,4,10,"07章","07章 食用蔬菜、根及块茎",494672,1907630,110168,450637,15.2,-34.4
2016,4,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",191033,991319,383100,1450807,46.8,-6
2016,4,13,"10章","10章 谷物",22502,63709,447716,1411143,8.1,-18.9
2016,4,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",32233,125477,65074,210780,7,-4.4
2016,4,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",35379,130774,340793,1356758,1.2,-0.5
2016,4,38,"31章","31章 肥料",303253,1231991,185864,714803,-36.5,-1
2016,4,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",156864,492704,205135,656954,2,-2.3
2016,4,64,"52章","52章 棉花",928938,3266483,417070,1570746,15.4,-31.3
2016,5,3,"01章","01章 活动物",30569,138027,4751,77970,17.8,-49.3
2016,5,4,"02章","02章 肉及食用杂碎",50370,221121,626071,2485842,-16.7,64
2016,5,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",784598,3459695,342932,1717602,8.9,9.6
2016,5,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",28775,158819,177165,1091943,8.7,14.1
2016,5,10,"07章","07章 食用蔬菜、根及块茎",601753,2509173,107708,558338,18.8,-35.4
2016,5,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",165838,1145471,414744,1867252,42.6,-3.2
2016,5,13,"10章","10章 谷物",26221,89930,464877,1876145,32.3,-17
2016,5,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",28279,153689,45478,256175,4,-4.9
2016,5,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",30924,158156,281814,1638435,-4.3,-6.2
2016,5,38,"31章","31章 肥料",337151,1567509,90093,804643,-39.2,-7.9
2016,5,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",166922,658265,206735,863688,4.6,-2.1
2016,5,64,"52章","52章 棉花",934613,4194901,417450,1988189,12.6,-30.1
2016,6,3,"01章","01章 活动物",35511,173538,20727,98686,19.3,-41.1
2016,6,4,"02章","02章 肉及食用杂碎",49407,270485,707126,3193235,-16.9,73.5
2016,6,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",687694,4147287,312736,2030339,8.9,9.9
2016,6,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",28413,187218,183918,1275861,6.7,15.4
2016,6,10,"07章","07章 食用蔬菜、根及块茎",593649,3102523,123951,682278,20.4,-32.7
2016,6,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",177833,1318963,304479,2172501,38.3,-4.1
2016,6,13,"10章","10章 谷物",11893,101823,308200,2184645,16.9,-25.3
2016,6,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",28771,182454,39584,295763,2.9,-6.4
2016,6,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",32392,186793,329605,1967975,-5.4,-11.8
2016,6,38,"31章","31章 肥料",379344,1944159,86343,890973,-36.5,-12.6
2016,6,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",144033,791980,221278,1084794,5,-4.1
2016,6,64,"52章","52章 棉花",791646,4957401,400611,2388493,9.7,-30.2
2016,7,3,"01章","01章 活动物",36429,209967,29648,128333,20.8,-32.3
2016,7,4,"02章","02章 肉及食用杂碎",51554,322039,676015,3869503,-15.3,76
2016,7,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",753070,4900240,323675,2354188,11.1,9.4
2016,7,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",29657,216875,181544,1457384,3.8,13.2
2016,7,10,"07章","07章 食用蔬菜、根及块茎",633142,3735294,79580,761858,22.1,-34.4
2016,7,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",299219,1616160,249878,2424311,38.8,-3.9
2016,7,13,"10章","10章 谷物",11959,113781,207534,2391774,23.9,-33.7
2016,7,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",27140,209590,33580,329344,2.3,-9.4
2016,7,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",30652,216674,355174,2323174,-6,-17.9
2016,7,38,"31章","31章 肥料",370561,2314491,92131,983104,-36.2,-21.1
2016,7,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",124239,916119,183336,1268133,5.2,-8.3
2016,7,64,"52章","52章 棉花",827047,5778700,439319,2827779,8.3,-28.9
2016,8,3,"01章","01章 活动物",38194,248161,43150,171483,21.3,-22.5
2016,8,4,"02章","02章 肉及食用杂碎",48902,370941,719627,4589350,-14.4,80.3
2016,8,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",762573,5662566,427404,2781686,12.2,13.5
2016,8,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",38560,255434,174587,1631919,6.6,13.7
2016,8,10,"07章","07章 食用蔬菜、根及块茎",622088,4355000,58799,820354,23.1,-35.4
2016,8,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",340671,1956515,258765,2682917,39,-3.9
2016,8,13,"10章","10章 谷物",14765,128547,263620,2655481,26.2,-34.1
2016,8,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",34451,244041,38901,368244,6.2,-7.6
2016,8,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",33325,249996,436862,2759800,-4.3,-14.3
2016,8,38,"31章","31章 肥料",478332,2791529,62924,1045984,-32.8,-29.3
2016,8,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",122289,1037878,163823,1431461,7.1,-8.6
2016,8,64,"52章","52章 棉花",928758,6705916,437095,3264656,8.1,-26.8
2016,9,3,"01章","01章 活动物",41452,289613,22838,194364,22.4,-26.6
2016,9,4,"02章","02章 肉及食用杂碎",50988,421929,555146,5144785,-13.6,73.5
2016,9,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",735568,6398146,445341,3227011,10.4,12.3
2016,9,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",30600,286034,136350,1768250,4,11.3
2016,9,10,"07章","07章 食用蔬菜、根及块茎",586427,4940004,99607,919976,24.1,-30.7
2016,9,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",339280,2295620,292695,2975757,30.6,-2.6
2016,9,13,"10章","10章 谷物",32247,160793,346186,3001668,18.4,-34.5
2016,9,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",29208,273224,45584,413816,5.6,-7.5
2016,9,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",32423,282157,411122,3170811,-5.5,-13.7
2016,9,38,"31章","31章 肥料",327765,3119441,94278,1140259,-36.1,-30.5
2016,9,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",85622,1123466,121475,1552891,3.7,-8.8
2016,9,64,"52章","52章 棉花",768229,7473997,410792,3675414,4.7,-25.8
2016,10,3,"01章","01章 活动物",34621,324232,12463,206868,19.2,-26.1
2016,10,4,"02章","02章 肉及食用杂碎",51077,473001,504091,5648376,-12.6,68.7
2016,10,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",776204,7174082,443222,3669431,10.4,14.1
2016,10,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",28651,314742,135840,1903948,2.3,11.3
2016,10,10,"07章","07章 食用蔬菜、根及块茎",595705,5533213,86004,949109,24,-32.9
2016,10,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",379134,2667358,243938,3219746,18.3,-0.6
2016,10,13,"10章","10章 谷物",32321,193115,225978,3227689,25.4,-35.6
2016,10,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",28805,302019,44745,458562,4.2,-4.9
2016,10,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",30189,305519,351403,3521836,-9.3,-11.9
2016,10,38,"31章","31章 肥料",374627,3501310,113850,1254109,-34.7,-33.7
2016,10,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",94970,1212390,145796,1698827,1.7,-7.5
2016,10,64,"52章","52章 棉花",792725,8240986,358693,4037046,1.9,-24.6
2016,11,3,"01章","01章 活动物",38902,363129,19118,225958,17.4,-23.3
2016,11,4,"02章","02章 肉及食用杂碎",55882,528879,546328,6194906,-10.1,66
2016,11,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",926579,8100474,433803,4103416,10.7,15.9
2016,11,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",36396,351150,207567,2111253,3.7,12.5
2016,11,10,"07章","07章 食用蔬菜、根及块茎",699152,6230561,94994,1044103,25.5,-30.4
2016,11,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",438616,3105852,265658,3477893,14.7,1.2
2016,11,13,"10章","10章 谷物",45699,238814,203667,3431429,34.2,-36.4
2016,11,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",33637,335610,53336,511916,3.1,-2.5
2016,11,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",35221,340139,499203,4019026,-7.9,-8.5
2016,11,38,"31章","31章 肥料",370539,3860831,150037,1403747,-35.5,-34.3
2016,11,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",93036,1304931,178155,1876946,1.5,-5.5
2016,11,64,"52章","52章 棉花",785903,9021590,460153,4491146,1,-22.2
2016,12,3,"01章","01章 活动物",63630,426748,46150,262574,14.8,-23
2016,12,4,"02章","02章 肉及食用杂碎",66793,595688,576011,6772119,-9.2,60
2016,12,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",943701,9044150,452721,4570671,9.2,16.1
2016,12,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",37464,388706,206117,2317561,3.3,13.1
2016,12,10,"07章","07章 食用蔬菜、根及块茎",738838,6966465,107916,1227569,24.3,-24.2
2016,12,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",527409,3637649,374737,3854498,12.8,3.5
2016,12,13,"10章","10章 谷物",25989,264803,291419,3722872,32.1,-35.7
2016,12,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",37486,373088,77161,589088,1.9,-0.3
2016,12,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",45308,385214,639648,4658637,-7,-4.9
2016,12,38,"31章","31章 肥料",425835,4286375,186810,1590557,-36.2,-34.9
2016,12,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",96408,1407333,197429,2074204,-0.5,-2
2016,12,64,"52章","52章 棉花",832615,9860264,619300,5110360,0.5,-19.6
2017,1,3,"01章","01章 活动物",5147,5147,17875,17875,-49.6,334.3
2017,1,4,"02章","02章 肉及食用杂碎",44983,44983,516472,516472,12.2,3.6
2017,1,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",932223,932223,398276,398276,12.5,9.7
2017,1,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",36623,36623,397543,397543,-3.4,10.8
2017,1,10,"07章","07章 食用蔬菜、根及块茎",620953,620953,115376,115376,27,9.6
2017,1,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",378547,378547,527009,527009,5,2.1
2017,1,13,"10章","10章 谷物",30239,30239,327635,327635,104.7,-6.2
2017,1,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",25218,25218,57389,57389,-20.8,12.5
2017,1,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",38049,38049,507605,507605,25.9,44.1
2017,1,38,"31章","31章 肥料",165152,165152,177349,177349,-57,-27.7
2017,1,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",94645,94645,174474,174474,-16.5,3.9
2017,1,64,"52章","52章 棉花",884315,884315,508403,508403,1.1,22.3
2017,2,3,"01章","01章 活动物",32731,37877,25250,43125,-8.7,298.5
2017,2,4,"02章","02章 肉及食用杂碎",38797,83780,525900,1042344,8.2,23.7
2017,2,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",382855,1315026,323351,721629,0,12.5
2017,2,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",28518,65142,273595,671167,-3.7,28.2
2017,2,10,"07章","07章 食用蔬菜、根及块茎",453405,1074396,91011,206402,23,0.8
2017,2,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",162896,541238,261233,790032,-1.9,1
2017,2,13,"10章","10章 谷物",21270,51509,336548,664189,116.3,19.6
2017,2,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",23643,48862,50360,107748,-16.5,26.9
2017,2,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",27780,65857,418291,925876,26.8,45.9
2017,2,38,"31章","31章 肥料",314280,479400,193966,371315,-17.9,-3.4
2017,2,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",72331,166976,146207,320681,-22.3,20.1
2017,2,64,"52章","52章 棉花",418669,1302597,539764,1048906,-10.3,48.3
2017,3,3,"01章","01章 活动物",29775,67653,6833,49958,-12.2,68.1
2017,3,4,"02章","02章 肉及食用杂碎",51849,135629,582096,1624489,9.5,20.9
2017,3,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",750595,2065537,440444,1162268,4.1,13.8
2017,3,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",31374,96516,258956,929903,-3.3,25.6
2017,3,10,"07章","07章 食用蔬菜、根及块茎",610768,1683976,137536,342594,19.4,0.6
2017,3,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",213571,754771,305682,1095873,-4.2,2.3
2017,3,13,"10章","10章 谷物",40016,91524,400591,1064491,122.1,10.5
2017,3,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",32028,80908,71986,179736,-13.2,23.4
2017,3,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",40130,104565,466511,1391593,17.3,37
2017,3,38,"31章","31章 肥料",297133,776259,180933,552093,-16.2,5
2017,3,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",128245,295221,200939,521620,-11.9,15.5
2017,3,64,"52章","52章 棉花",974792,2277120,553913,1603643,-1.5,39
2017,4,3,"01章","01章 活动物",33924,101577,26869,76827,-5.5,17.5
2017,4,4,"02章","02章 肉及食用杂碎",59924,195553,542566,2167222,14.6,16.4
2017,4,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",735949,2801434,406536,1564413,4.7,13.7
2017,4,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",29724,126240,242613,1172515,-2.9,28.2
2017,4,10,"07章","07章 食用蔬菜、根及块茎",642998,2326932,127136,469730,22.2,4.2
2017,4,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",194815,949586,361562,1457720,-3,0.3
2017,4,13,"10章","10章 谷物",19102,110626,446819,1511474,73.6,7.1
2017,4,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",25945,106856,50993,230595,-14.8,9.4
2017,4,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",44709,149274,523152,1914654,19.9,41.1
2017,4,38,"31章","31章 肥料",270925,1047191,146719,698813,-14.8,-1.8
2017,4,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",137721,432942,225505,747105,-11.8,13.8
2017,4,64,"52章","52章 棉花",952285,3228565,460085,2063710,-0.1,31.4
2017,5,3,"01章","01章 活动物",31784,133361,10061,86888,-3.4,23.9
2017,5,4,"02章","02章 肉及食用杂碎",51251,246787,569734,2736979,11.6,10
2017,5,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",771853,3573280,458635,2022769,3.3,17.7
2017,5,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",31473,157713,264015,1436389,-0.7,31.6
